SEQN,RIDSTATR,Gender,Age,Race,EducationLevel,AnnualHouseholdIncome,RatioFIP,LowIncome
96839,2,2,22,5,,15,5,2
96860,2,2,22,3,,14,4.62,2
97100,2,2,22,3,,,,2
97362,2,1,22,3,,5,1.69,1
97380,2,1,22,5,,12,,1
97601,2,2,22,2,,7,1.29,2
97709,2,2,22,3,,14,2.01,1
97935,2,1,22,2,,99,,2
98018,2,1,22,4,,5,1.2,2
98345,2,1,22,5,,6,1.54,1
98402,2,1,22,1,,10,2.38,1
98441,2,1,22,3,,5,1.1,2
98442,2,2,22,4,,8,1.99,1
98475,2,1,22,1,,12,,2
98637,1,2,22,5,,9,2.07,2
98724,2,1,22,2,,,,2
98854,2,1,22,1,,99,,1
98876,2,1,22,4,,4,1.08,2
98910,2,1,22,4,,8,2.45,1
99151,2,2,22,3,,4,1.24,2
99198,2,2,22,1,,99,,1
99315,2,1,22,4,,8,2.03,2
99396,2,2,22,1,,6,1.52,2
99401,2,2,22,5,,15,3.4,1
99436,2,2,22,4,,7,1.58,2
99539,2,1,22,4,,6,1.15,1
100018,2,1,22,3,,3,1.08,1
100019,2,1,22,4,,8,1.99,1
100026,2,2,22,5,,9,2.55,2
100068,2,2,22,3,,12,,2
100092,2,1,22,5,,7,2.13,2
100148,2,2,22,2,,12,,1
100202,2,2,22,1,,8,1.2,2
100246,2,2,22,5,,99,,2
100365,2,2,22,1,,3,0.41,2
100438,2,2,22,1,,9,1.95,1
100923,2,1,22,2,,4,0.41,2
100971,2,2,22,4,,1,0,1
101076,2,2,22,5,,15,4.25,1
101101,2,1,22,3,,14,5,2
101111,2,1,22,4,,99,,2
101293,1,2,22,4,,,,2
101316,2,1,22,5,,14,3.66,1
101330,2,2,22,3,,7,1.71,2
101384,2,1,22,4,,14,3.25,1
101545,2,1,22,3,,10,2.31,2
101574,2,2,22,4,,5,0.74,2
101599,2,1,22,3,,6,1.24,1
101604,2,1,22,4,,7,1.54,1
101609,2,1,22,5,,15,5,1
101790,2,2,22,4,,8,2.17,2
101867,2,2,22,2,,8,1.79,2
101911,2,2,22,4,,6,1.22,2
102039,2,1,22,3,,14,4.29,1
102232,2,1,22,5,,6,2.11,2
102249,2,1,22,3,,8,2.73,1
102283,2,2,22,3,,9,3.35,2
102356,2,1,22,2,,,,2
102363,1,1,22,3,,8,1.24,1
102631,2,1,22,4,,14,4.93,2
102675,2,1,22,4,,14,1.16,2
102676,2,1,22,5,,15,5,2
93999,2,2,23,4,,15,4.98,2
94098,2,2,23,4,,6,1.54,2
94151,2,1,23,2,,15,5,1
94211,2,2,23,3,,15,2.97,2
94219,2,2,23,1,,12,,2
94224,2,1,23,2,,14,4.74,2
94250,2,2,23,3,,10,3.37,2
94409,2,1,23,2,,4,0.41,2
94673,2,2,23,4,,,,1
94697,2,2,23,3,,15,3.34,1
94895,2,2,23,2,,77,,2
94946,2,1,23,3,,6,1,2
95039,2,2,23,3,,5,1.73,1
95048,2,1,23,3,,14,4.62,1
95153,2,2,23,3,,7,1.59,2
95200,2,2,23,1,,5,0.81,1
95202,2,2,23,3,,15,5,1
95232,2,2,23,4,,4,0.61,2
95239,2,2,23,1,,3,0.48,1
95437,2,1,23,5,,8,1.79,1
95569,2,2,23,4,,14,3.92,2
95573,2,1,23,3,,15,5,2
95665,2,1,23,3,,4,1.24,2
95768,2,1,23,2,,8,3.19,1
95792,2,1,23,3,,6,2.49,2
96103,2,2,23,5,,,,1
96107,1,2,23,4,,4,0.54,1
96150,2,1,23,3,,5,1.66,1
96403,2,1,23,1,,14,2.72,1
96405,2,2,23,2,,77,,2
