,City Name,State Name,Latitude,Longitude,Facility ID,Facility Name,Emission,Gas Code,Gas Name,Year
73963,Price,Utah,39.599385999999996,-110.81071999999999,1004143,Xto - Castle Valley,15.198,N2O,Nitrous Oxide,2010
73964,Carneys Point,New Jersey,39.6928,-75.4867,1005877,Carneys Point,6086.352,N2O,Nitrous Oxide,2014
73965,Charlotte,North Carolina,35.33902,-80.82925999999999,1003507,Gerdau Ameristeel Us  Inc - Charlotte Mill,51458.9,CO2,Carbon Dioxide,2013
73966,Lemont,Illinois,41.662496000000004,-88.03826600000001,1007127,Oxbow Midwest Calcining Llc,0.25,CH4,Methane,2014
73967,Lemont,Illinois,41.662496000000004,-88.03826600000001,1007127,Oxbow Midwest Calcining Llc,309.7,CO2,Carbon Dioxide,2014
73968,Theodore,Alabama,30.5248,-88.1289,1001140,Theodore Cogeneration,441.338,N2O,Nitrous Oxide,2010
73969,Union City,California,37.605990000000006,-122.04236999999999,1004965,United States Pipe & Foundry Co Llc,103.406,N2O,Nitrous Oxide,2014
73970,Tampa,Florida,27.96214,-82.381158,1003951,Envirofocus Technologies Llc,24.5,CH4,Methane,2014
73971,Shelby,Ohio,40.88135,-82.66758,1005385,Arcelormittal Tubular Products Shelby Llc,36.058,N2O,Nitrous Oxide,2012
73972,Brunswick,Georgia,31.108055,-81.549463,1004393,Symrise,10290.0,BIOCO2,Biogenic CO2,2014
73973,Quanah,Texas,34.323944,-99.81819399999999,1005046,Acme Gypsum Facility,16.25,CH4,Methane,2014
73974,Agawam,Massachusetts,42.0476,-72.6478,1001298,Berkshire Power,220.52,N2O,Nitrous Oxide,2010
73975,Tarboro,North Carolina,35.914656,-77.583985,1000554,Edgecombe County Landfill,22236.25,CH4,Methane,2011
73976,Auburn Hills,Michigan,42.65529,-83.23238,1005483,Fca Chrysler Technology Center,21.25,CH4,Methane,2012
73977,Winthrop,Minnesota,44.541944,-94.341667,1003907,Heartland Corn Products,163241.4,CO2,Carbon Dioxide,2014
73978,Blacksburg,South Carolina,35.120688,-81.555726,1004950,Milliken & Co Magnolia Plt,139107.2,CO2,Carbon Dioxide,2015
73979,Granbury,Texas,32.3347,-97.7344,1001334,Wolf Hollow I  Lp,898.172,N2O,Nitrous Oxide,2014
73980,Charleston,South Carolina,32.8994,-79.9694,1000426,Kapstone Charleston Kraft Llc,1391659.5,BIOCO2,Biogenic CO2,2011
73981,Calera,Alabama,33.177082,-86.759452,1002549,Lhoist North America Of Alabama Llc O'Neal Plant,1.75,CH4,Methane,2019
73982,Coyote,California,37.2169,-121.7439,1000806,Metcalf Energy Center,464.0,CH4,Methane,2010
73983,Graham,Texas,33.135,-98.6117,1000941,Graham,168.668,N2O,Nitrous Oxide,2010
73984,Endicott,New York,42.10498,-76.04715,1002165,Huron Real Estate Associates,18.5,CH4,Methane,2013
73985,Georgetown,Kentucky,38.26035,-84.534367,1004949,Toyota Motor Manufacturing Kentucky Incorporated,45.5,CH4,Methane,2014
73986,Theodore,Alabama,30.529360999999998,-88.14205600000001,1002393,Mitsubishi Polycrystalline Silicon American Corporation,20.86,N2O,Nitrous Oxide,2015
73987,Baldwinsville,New York,43.1691,-76.3112,1002576,Anheuser Busch Baldwinsville Brewery,5162.4,BIOCO2,Biogenic CO2,2017
73988,Baldwinsville,New York,43.1691,-76.3112,1002576,Anheuser Busch Baldwinsville Brewery,22.5,CH4,Methane,2017
73989,Harleyville,South Carolina,33.242778,-80.442222,1003770,Giant Cement Company,296.0,CH4,Methane,2017
73990,Rincon,Georgia,32.2792,-81.2842,1000811,Effingham County Power  Llc,322.436,N2O,Nitrous Oxide,2014
73991,Cleveland,Arkansas,35.408634,-92.667296,1008064,Phillips Mountain Cpf-2,11.5,CH4,Methane,2014
73992,E. Chicago,Indiana,41.654051,-87.446885,1001346,Harsco Metals,0.298,N2O,Nitrous Oxide,2011
73993,Cambridge,Nebraska,40.278101,-100.161805,1004039,Nebraska Corn Processing  Llc,47955.3,CO2,Carbon Dioxide,2011
73994,Sparta,Illinois,38.1218,-89.695356,1009864,Spartan Light Metal Products  Inc.,187872.0,SF6,Sulfur Hexafluoride,2011
73995,Sparta,Illinois,38.1218,-89.695356,1009864,Spartan Light Metal Products  Inc.,5524.0,CO2,Carbon Dioxide,2011
73996,Wallingford,Connecticut,41.4401,-72.83471,1005171,Covanta Resource Recovery Facility,64902.9,BIOCO2,Biogenic CO2,2013
73997,Harleyville,South Carolina,33.242778,-80.442222,1003770,Giant Cement Company,377.566,N2O,Nitrous Oxide,2019
73998,Wilson,North Carolina,35.75598,-77.86917,1002954,Bridgestone Firestone Incorporated,29.502,N2O,Nitrous Oxide,2014
